,market_name,position_type,entry_time,exit_time,entry_price,exit_price,leverage,trade_pnl_pct,paper_equity
0,-,-,-,-,-,-,-,-,10000.0
1,BTCUSDT,SHORT,2021-04-12 16:30:07.525580,2021-04-12 16:35:06.236585,59974.89507,60247.27708999999,10,-4.541600609422959,9545.839939057703
2,BTCUSDT,LONG,2021-04-12 16:35:06.735576,2021-04-12 16:40:07.038209,60250.189999999995,60117.822,10,-2.196972324900468,9336.12047741731
3,BTCUSDT,SHORT,2021-04-12 16:40:07.334146,2021-04-12 17:15:05.761878,60118.9209,60111.081029999994,10,0.13040603328599382,9348.295341794712
4,BTCUSDT,LONG,2021-04-12 17:15:06.352403,2021-04-12 17:20:07.479030,60110.30024999999,59901.58845,10,-3.472147021923918,9023.708783483935
5,BTCUSDT,SHORT,2021-04-12 17:20:07.732807,2021-04-12 17:25:06.926499,59900.19984,60063.97396999999,10,-2.7341165878819993,8776.990064792535
6,BTCUSDT,LONG,2021-04-12 17:25:07.664459,2021-04-12 17:30:05.988875,60062.81280999999,59815.095030000004,10,-4.124312006225946,8414.999609765038
7,BTCUSDT,SHORT,2021-04-12 17:30:06.484527,2021-04-12 17:35:06.199464,59815.204920000004,59995.935999999994,10,-3.0214906099830254,8160.74118672588
8,BTCUSDT,LONG,2021-04-12 17:35:06.614986,2021-04-12 17:40:06.254764,59995.935999999994,59825.28483,10,-2.844378825925766,7928.618792372046
9,BTCUSDT,SHORT,2021-04-12 17:40:06.511768,2021-04-12 17:50:06.735928,59825.274840000005,60020.370409999996,10,-3.2610894061375344,7670.0594448809725
10,BTCUSDT,LONG,2021-04-12 17:50:07.210315,2021-04-12 17:55:06.081188,60020.370409999996,59794.43571,10,-3.764300327649344,7381.335372066418
11,BTCUSDT,SHORT,2021-04-12 17:55:06.611198,2021-04-12 18:05:05.832947,59798.96118,59895.78594999999,10,-1.6191714385897296,7261.818897935398
12,BTCUSDT,LONG,2021-04-12 18:05:06.373137,2021-04-12 18:25:07.185478,59901.581739999994,59832.767340000006,10,-1.1487910335769438,7178.395773561321
13,BTCUSDT,SHORT,2021-04-12 18:25:07.436765,2021-04-12 18:30:05.761803,59832.75735,59985.395469999996,10,-2.551079488232811,6995.269191397827
14,BTCUSDT,LONG,2021-04-12 18:30:06.326501,2021-04-12 18:55:06.394346,59985.395469999996,59955.614369999996,10,-0.4964725124617096,6960.539602689834
15,BTCUSDT,SHORT,2021-04-12 18:55:06.949412,2021-04-12 19:00:08.839547,59955.614369999996,60112.31226,10,-2.6135649120861992,6778.621381942069
16,BTCUSDT,LONG,2021-04-12 19:00:09.520821,2021-04-12 19:05:06.168087,60111.73168,59981.168789999996,10,-2.17200347338257,6631.3894900788355
17,BTCUSDT,SHORT,2021-04-12 19:05:06.696818,2021-04-12 19:20:06.185725,59987.912039999996,60114.494439999995,10,-2.11013178647715,6491.458432563575
18,BTCUSDT,LONG,2021-04-12 19:20:06.644302,2021-04-12 19:35:05.950144,60114.48443,60019.44048,10,-1.5810490749641668,6388.825289063845
19,BTCUSDT,SHORT,2021-04-12 19:35:07.006178,2021-04-12 19:55:06.609252,60019.3206,60223.393229999994,10,-3.4001156287662995,6171.597841915812
20,BTCUSDT,LONG,2021-04-12 19:55:06.974951,2021-04-12 20:05:06.188929,60223.393229999994,60026.72319,10,-3.2656751712559933,5970.053503522597
21,BTCUSDT,SHORT,2021-04-12 20:05:07.177678,2021-04-12 20:15:05.993985,60025.94397,60176.10598999999,10,-2.5016186346863183,5820.705532577732
22,BTCUSDT,LONG,2021-04-12 20:15:06.496315,2021-04-12 20:40:05.974090,60174.04392999999,60173.61615,10,-0.007109045230340885,5820.291735988696
23,BTCUSDT,SHORT,2021-04-12 20:40:06.474366,2021-04-12 20:50:06.332539,60174.774990000005,60315.194939999994,10,-2.3335351070830583,5684.473184994746
24,BTCUSDT,LONG,2021-04-12 20:50:06.585251,2021-04-12 20:55:05.973423,60315.20494999999,60186.972780000004,10,-2.1260338932163148,5563.619358430964
25,BTCUSDT,SHORT,2021-04-12 20:55:06.472445,2021-04-12 21:35:05.911847,60186.98277,60069.09908999999,10,1.958624183745796,5672.589752676757
26,BTCUSDT,LONG,2021-04-12 21:35:06.410965,2021-04-12 22:00:10.838265,60110.060009999994,60025.82409,10,-1.4013614357726192,5593.096267473155
27,BTCUSDT,SHORT,2021-04-12 22:00:11.345854,2021-04-12 22:20:07.331998,60027.12279,60057.05705999999,10,-0.498679073869878,5565.204666805869
28,BTCUSDT,LONG,2021-04-12 22:20:07.574670,2021-04-12 22:30:05.756780,60057.99799999999,59879.70036,10,-2.9687576332462795,5399.987228454292
29,BTCUSDT,SHORT,2021-04-12 22:30:06.244993,2021-04-12 22:35:06.176249,59879.70036,60060.29029,10,-3.015878985938109,5237.130148387997
30,BTCUSDT,LONG,2021-04-12 22:35:06.684420,2021-04-12 23:05:06.846876,60060.29029,60000.27965999999,10,-0.9991731593411237,5184.802149625542
